link,mean,std,count
386-388,"[52.0, 43.4, 53.5, 35.0, 27.4, 70.7]","[27.3, 20.6, 32.1, 9.4, 4.8, 50.5]","[25, 19, 13, 7, 5, 10]"
388-389,"[33.4, 26.6, 23.8, 24.9, 22.1, 21.9]","[16.7, 12.5, 6.4, 6.7, 10.5, 10.0]","[24, 25, 16, 10, 8, 14]"
389-390,"[31.0, 25.3, 37.1, 28.7, 22.9, 25.4]","[11.8, 9.3, 18.9, 13.1, 6.8, 12.8]","[22, 27, 17, 12, 7, 14]"
390-391,"[23.2, 20.2, 24.6, 19.2, 19.0, 20.5]","[8.3, 5.6, 7.7, 8.4, 5.1, 9.6]","[22, 26, 17, 12, 8, 14]"
391-14956,"[64.9, 63.5, 61.5, 40.3, 54.1, 47.4]","[23.3, 26.6, 21.5, 11.0, 15.4, 16.2]","[22, 28, 17, 11, 8, 14]"
14956-393,"[35.7, 31.2, 37.9, 45.2, 36.2, 32.9]","[14.7, 17.9, 17.0, 20.3, 8.0, 14.4]","[19, 30, 16, 12, 8, 14]"
393-394,"[17.8, 18.0, 20.2, 28.7, 22.9, 21.1]","[4.4, 4.0, 6.6, 11.6, 8.1, 8.0]","[18, 25, 17, 11, 8, 14]"
394-395,"[37.2, 36.0, 33.7, 37.1, 37.8, 37.2]","[13.4, 15.1, 18.0, 15.3, 16.7, 12.4]","[19, 27, 17, 13, 8, 15]"
395-396,"[33.3, 31.1, 30.2, 32.8, 25.0, 33.5]","[7.5, 10.0, 8.4, 8.3, 8.4, 9.9]","[18, 28, 17, 12, 7, 15]"
396-397,"[45.2, 48.1, 49.0, 38.1, 47.0, 46.8]","[13.1, 12.4, 10.0, 6.7, 11.8, 10.9]","[19, 28, 19, 10, 9, 16]"
397-17169,"[55.3, 62.4, 66.8, 68.2, 73.4, 61.5]","[20.5, 22.9, 26.7, 23.4, 27.7, 25.5]","[19, 28, 19, 9, 11, 15]"
17169-17162,"[61.9, 45.4, 44.6, 44.0, 43.8, 40.2]","[24.2, 8.8, 6.6, 2.8, 2.5, 8.1]","[21, 23, 19, 7, 8, 12]"
17162-14959,"[87.5, 78.6, 77.0, 94.4, 105.6, 96.2]","[14.8, 26.9, 18.4, 19.6, 14.0, 24.8]","[17, 28, 20, 9, 8, 14]"
14959-402,"[37.4, 42.2, 43.8, 57.8, 43.7, 46.1]","[8.0, 14.2, 10.9, 17.2, 11.8, 21.7]","[18, 28, 19, 11, 9, 15]"
402-403,"[27.8, 25.4, 25.2, 33.3, 27.9, 26.6]","[7.2, 4.2, 5.3, 8.3, 5.2, 9.0]","[19, 25, 18, 11, 9, 14]"
403-17163,"[38.3, 36.5, 42.0, 33.0, 42.4, 36.4]","[13.7, 11.1, 10.6, 7.8, 17.9, 13.1]","[19, 26, 21, 10, 9, 15]"
17163-15848,"[55.7, 52.4, 68.1, 50.2, 35.9, 41.6]","[25.5, 15.9, 7.9, 5.3, 7.2, 16.8]","[19, 27, 19, 8, 8, 15]"
15848-406,"[39.5, 36.2, 40.4, 37.5, 38.2, 31.9]","[13.5, 12.4, 10.7, 9.6, 12.5, 11.2]","[19, 28, 20, 10, 9, 14]"
406-14500,"[47.9, 58.1, 52.4, 52.1, 48.5, 48.1]","[17.0, 16.4, 20.4, 14.4, 10.0, 14.7]","[21, 29, 23, 10, 8, 14]"
14500-15852,"[58.5, 58.9, 59.6, 62.6, 71.1, 70.4]","[21.3, 22.3, 24.1, 22.6, 25.4, 23.0]","[21, 28, 22, 11, 10, 14]"
15852-409,"[29.8, 34.9, 27.4, 30.9, 35.0, 61.5]","[7.9, 13.7, 5.8, 11.2, 7.8, 50.0]","[19, 27, 20, 8, 12, 13]"
409-18047,"[71.0, 88.1, 106.9, 74.2, 83.9, 70.7]","[17.7, 24.6, 35.6, 27.2, 20.6, 26.7]","[19, 28, 24, 9, 12, 14]"
18047-17841,"[37.0, 65.1, 69.3, 84.9, 74.2, 66.7]","[11.6, 26.3, 19.0, 14.5, 17.0, 21.8]","[14, 29, 23, 9, 10, 12]"
17841-412,"[56.1, 54.4, 55.6, 52.6, 56.2, 62.4]","[10.5, 12.5, 11.9, 8.9, 6.1, 10.4]","[16, 24, 23, 11, 11, 12]"
412-413,"[30.1, 42.6, 44.4, 32.2, 31.6, 34.5]","[9.6, 14.8, 14.5, 8.7, 8.3, 12.1]","[16, 26, 23, 11, 11, 11]"
413-14764,"[46.4, 61.2, 60.8, 57.3, 50.4, 49.8]","[8.5, 15.4, 20.5, 12.1, 6.9, 9.4]","[17, 25, 23, 14, 10, 10]"
14764-415,"[46.4, 49.4, 36.2, 35.6, 39.9, 35.5]","[17.0, 14.4, 7.5, 10.2, 13.1, 13.2]","[18, 25, 18, 12, 11, 10]"
415-416,"[30.4, 51.6, 50.6, 43.2, 26.5, 26.9]","[7.7, 26.0, 16.6, 15.4, 5.2, 3.7]","[17, 26, 20, 16, 10, 8]"
416-417,"[56.5, 67.0, 58.4, 62.3, 64.7, 74.6]","[23.5, 16.5, 14.9, 9.5, 21.1, 32.0]","[17, 28, 18, 11, 11, 9]"
417-15185,"[48.4, 35.4, 41.5, 55.8, 68.0, 69.5]","[21.9, 20.8, 23.7, 27.2, 7.2, 4.5]","[17, 26, 22, 17, 9, 6]"
15185-16110,"[53.0, 44.8, 45.3, 46.5, 42.2, 43.5]","[24.5, 12.4, 14.0, 13.8, 12.3, 11.7]","[17, 26, 21, 16, 11, 8]"
16110-420,"[58.8, 51.7, 48.6, 48.9, 37.8, 52.2]","[19.4, 17.3, 19.0, 15.9, 10.3, 15.8]","[17, 26, 21, 17, 10, 8]"
420-421,"[26.1, 21.6, 25.8, 33.2, 31.9, 28.7]","[13.0, 6.8, 8.6, 17.2, 13.9, 9.8]","[17, 22, 22, 17, 11, 7]"
421-16088,"[27.1, 23.7, 20.1, 20.6, 24.0, 15.0]","[12.7, 10.5, 7.6, 9.8, 9.3, 2.9]","[17, 24, 23, 16, 11, 6]"
16088-423,"[30.6, 33.3, 32.0, 37.2, 34.1, 36.4]","[9.0, 13.2, 11.4, 12.4, 11.6, 12.4]","[14, 24, 23, 16, 11, 7]"
423-15364,"[96.8, 127.6, 143.6, 159.7, 110.2, 94.6]","[38.9, 37.0, 32.7, 50.4, 39.5, 37.9]","[14, 25, 24, 17, 10, 8]"
15364-425,"[77.6, 66.7, 75.8, 76.1, 81.1, 92.8]","[31.2, 18.5, 19.8, 19.4, 16.4, 32.4]","[15, 23, 26, 14, 10, 8]"
425-15384,"[45.3, 39.5, 37.3, 47.4, 36.5, 36.6]","[19.2, 9.7, 5.3, 16.6, 5.5, 4.1]","[15, 22, 21, 17, 10, 8]"
15384-427,"[43.2, 41.0, 39.6, 58.7, 42.6, 37.7]","[10.8, 13.0, 13.4, 17.0, 9.9, 15.3]","[12, 24, 25, 16, 11, 7]"
427-428,"[56.9, 47.7, 46.4, 46.0, 56.9, 48.5]","[16.3, 8.4, 11.3, 10.3, 13.1, 9.3]","[13, 23, 27, 16, 8, 8]"
428-429,"[49.8, 49.0, 29.8, 49.8, 35.9, 52.1]","[20.0, 19.1, 8.6, 26.5, 13.9, 23.9]","[12, 22, 20, 18, 8, 8]"
429-430,"[43.2, 38.8, 35.7, 36.2, 48.0, 36.9]","[14.1, 17.0, 14.5, 16.1, 6.9, 6.9]","[12, 21, 27, 16, 8, 7]"
430-431,"[36.1, 49.0, 73.2, 70.5, 41.3, 40.1]","[10.2, 20.9, 24.2, 19.4, 15.5, 18.0]","[14, 21, 27, 16, 11, 10]"
431-4727,"[29.4, 50.2, 85.6, 69.3, 65.5, 27.7]","[12.7, 22.7, 31.8, 29.5, 43.0, 16.7]","[14, 20, 28, 17, 11, 9]"
4727-432,"[60.1, 81.9, 96.7, 100.2, 80.6, 85.3]","[24.5, 38.0, 18.5, 26.6, 44.8, 40.8]","[15, 20, 24, 16, 12, 10]"
432-15279,"[75.9, 85.2, 64.1, 58.7, 78.8, 75.7]","[29.2, 30.2, 24.3, 18.6, 33.5, 40.1]","[14, 19, 26, 19, 10, 11]"
15279-16049,"[32.4, 33.5, 25.5, 29.8, 26.1, 25.9]","[9.2, 14.8, 10.3, 15.6, 8.6, 9.2]","[13, 19, 26, 19, 9, 11]"
16049-435,"[44.1, 41.3, 67.9, 58.0, 54.8, 46.0]","[9.8, 9.9, 24.1, 13.3, 22.7, 14.4]","[13, 16, 26, 21, 10, 11]"
435-436,"[46.2, 62.7, 95.0, 60.9, 58.3, 50.7]","[12.5, 28.0, 38.2, 13.7, 27.7, 19.3]","[12, 18, 27, 19, 10, 11]"
436-437,"[74.5, 67.8, 67.5, 85.0, 74.0, 59.2]","[18.3, 18.0, 26.0, 21.8, 27.9, 21.6]","[12, 17, 28, 22, 10, 10]"
437-14647,"[69.9, 69.6, 74.6, 68.5, 78.1, 61.4]","[2.8, 13.2, 18.3, 13.9, 25.8, 6.6]","[9, 15, 28, 22, 9, 9]"
14647-439,"[46.6, 49.9, 44.6, 64.6, 62.2, 46.5]","[14.0, 9.6, 13.3, 24.2, 20.7, 13.6]","[10, 15, 24, 24, 11, 8]"
439-440,"[83.7, 80.0, 85.1, 101.2, 81.4, 76.3]","[15.7, 20.3, 24.4, 30.6, 28.4, 26.1]","[11, 16, 29, 22, 12, 9]"
440-12754,"[48.0, 48.7, 52.1, 65.4, 72.6, 57.2]","[14.9, 15.5, 20.8, 34.6, 19.9, 26.9]","[9, 15, 26, 20, 13, 10]"
12754-442,"[51.6, 63.3, 76.4, 155.6, 111.2, 76.2]","[14.5, 15.9, 15.6, 89.1, 50.5, 15.4]","[10, 15, 25, 21, 15, 10]"
442-443,"[74.1, 100.4, 147.0, 148.6, 122.0, 104.1]","[39.6, 4.4, 52.0, 59.6, 47.0, 27.1]","[10, 11, 28, 16, 18, 8]"
443-445,"[151.7, 173.7, 237.7, 238.1, 243.5, 189.6]","[22.2, 9.9, 58.0, 43.1, 124.8, 79.8]","[6, 11, 26, 20, 17, 10]"
445-446,"[54.4, 88.6, 77.9, 81.1, 96.6, 83.5]","[25.7, 5.3, 21.5, 8.6, 26.4, 11.8]","[9, 13, 21, 26, 16, 10]"
446-18122,"[57.1, 86.1, 97.4, 96.4, 120.1, 73.2]","[22.2, 15.1, 8.4, 8.0, 25.9, 27.4]","[8, 16, 17, 18, 16, 11]"
18122-448,"[136.0, 154.8, 95.3, 152.8, 98.2, 84.9]","[70.5, 70.5, 10.2, 81.8, 16.3, 13.6]","[8, 16, 17, 23, 13, 10]"
448-1119,"[129.3, 124.1, 187.0, 134.2, 199.6, 172.3]","[77.0, 91.3, 38.0, 78.6, 35.9, 109.2]","[7, 14, 20, 24, 14, 3]"
1119-1120,"[66.9, 54.2, 65.2, 71.7, 51.2, 61.0]","[2.7, 15.6, 16.8, 25.4, 15.1, 19.5]","[7, 13, 17, 25, 14, 5]"
1120-1121,"[35.9, 48.1, 52.3, 64.3, 39.5, 35.6]","[14.2, 22.2, 22.1, 22.9, 14.4, 11.6]","[9, 14, 21, 23, 16, 5]"
1121-3953,"[52.2, 73.2, 63.8, 74.2, 65.8, 71.4]","[22.0, 22.2, 17.6, 22.8, 16.3, 20.0]","[9, 11, 20, 24, 16, 5]"
3953-3954,"[34.2, 40.9, 42.2, 37.7, 28.4, 24.8]","[13.0, 20.0, 24.3, 21.1, 12.8, 7.0]","[9, 11, 20, 25, 17, 6]"
3954-8613,"[151.3, 203.1, 182.3, 132.3, 159.8, 127.3]","[131.9, 146.6, 161.4, 93.2, 113.0, 66.7]","[10, 11, 17, 22, 17, 6]"
448-449,"[nan, nan, nan, nan, nan, 77.1]","[nan, nan, nan, nan, nan, 12.6]","[0, 0, 0, 0, 0, 8]"
